"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-08-06",,"70","54"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-08-07",,"79","50"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-08-08",,"85","55"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-08-09",,"83","55"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-08-10",,"83","62"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-08-11",,"80","67"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-08-12",,"73","64"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-08-13",,"73","54"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-08-14",,"80","52"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-08-15",,"83","66"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-08-16",,"82","64"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-08-17",,"74","70"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-08-18",,"91","70"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-08-19",,"84","69"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-08-20",,"74","69"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-08-21",,"71","67"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-08-22",,"72","67"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-08-23",,"78","64"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-08-24",,"84","66"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-08-25",,"84","68"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-08-26",,"88","70"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-08-27",,"93","72"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-08-28",,"93","69"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-08-29",,"86","62"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-08-30",,"79","59"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-08-31",,"83","57"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-09-01",,"89","67"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-09-02",,"82","64"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-09-03",,"82","59"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-09-04",,"91","66"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-09-05",,"82","71"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-09-06",,"96","71"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-09-07",,"77","66"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-09-08",,"78","65"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-09-09",,"83","62"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-09-10",,"87","65"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-09-11",,"81","66"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-09-12",,"85","64"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-09-13",,"85","63"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-09-14",,"73","57"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-09-15",,"73","53"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-09-16",,"63","51"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-09-17",,"63","48"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-09-18",,"63","49"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-09-19",,"62","51"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-09-20",,"71","47"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-09-21",,"72","52"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-09-22",,"65","48"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-09-23",,"59","41"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","1990-09-24",,"68","40"
